item,linha_criativa,veiculo,tamanho,tempo,looping,complexidade,tipo,iframe_src,iframe_width,iframe_height
1,conheca_ecoturismo_300x250,---,150kb,---,indeterminado,HTML,desenvolvimento,./conheca_ecoturismo_300x250/index.html,300,250
2,conheca_ecoturismo_300x600,---,150kb,---,indeterminado,HTML,desenvolvimento,./conheca_ecoturismo_300x600/index.html,300,600
3,conheca_ecoturismo_728x90,---,150kb,---,indeterminado,HTML,desenvolvimento,./conheca_ecoturismo_728x90/index.html,728,90
4,conheca_ecoturismo_120x600,---,150kb,---,indeterminado,HTML,desenvolvimento,./conheca_ecoturismo_120x600/index.html,120,600
5,conheca_ecoturismo_125x125,---,150kb,---,indeterminado,HTML,desenvolvimento,./conheca_ecoturismo_125x125/index.html,125,125
6,conheca_ecoturismo_1280x90,---,150kb,---,indeterminado,HTML,desenvolvimento,./conheca_ecoturismo_1280x90/index.html,1280,90
7,conheca_ecoturismo_160x600,---,150kb,---,indeterminado,HTML,desenvolvimento,./conheca_ecoturismo_160x600/index.html,160,600
8,conheca_ecoturismo_234x60,---,150kb,---,indeterminado,HTML,desenvolvimento,./conheca_ecoturismo_234x60/index.html,234,60
9,conheca_ecoturismo_290x60,---,150kb,---,indeterminado,HTML,desenvolvimento,./conheca_ecoturismo_290x60/index.html,290,60
10,conheca_ecoturismo_320x480,---,150kb,---,indeterminado,HTML,desenvolvimento,./conheca_ecoturismo_320x480/index.html,320,480
11,conheca_ecoturismo_360x640,---,150kb,---,indeterminado,HTML,desenvolvimento,./conheca_ecoturismo_360x640/index.html,360,640
12,conheca_ecoturismo_480x320,---,150kb,---,indeterminado,HTML,desenvolvimento,./conheca_ecoturismo_480x320/index.html,480,320
13,conheca_ecoturismo_640x360,---,150kb,---,indeterminado,HTML,desenvolvimento,./conheca_ecoturismo_640x360/index.html,640,360
14,conheca_ecoturismo_970x250,---,150kb,---,indeterminado,HTML,desenvolvimento,./conheca_ecoturismo_970x250/index.html,970,250
15,conheca_ecoturismo_970x70,---,150kb,---,indeterminado,HTML,desenvolvimento,./conheca_ecoturismo_970x70/index.html,970,70
16,conheca_ecoturismo_984x90,---,150kb,---,indeterminado,HTML,desenvolvimento,./conheca_ecoturismo_984x90/index.html,984,90
