item,linha_criativa,veiculo,tamanho,tempo,looping,complexidade,tipo,iframe_src,iframe_width,iframe_height
1,banner_1_300x250,---,250kb,---,indeterminado,HTML,desenvolvimento,./banner_1_300x250/index.html,300,250
2,banner_1_300x600,---,250kb,---,indeterminado,HTML,desenvolvimento,./banner_1_300x600/index.html,300,600
3,banner_1_970x250,---,250kb,---,indeterminado,HTML,desenvolvimento,./banner_1_970x250/index.html,970,250
4,banner_1_970x150,---,250kb,---,indeterminado,HTML,desenvolvimento,./banner_1_970x150/index.html,970,150
5,banner_1_970x90,---,250kb,---,indeterminado,HTML,desenvolvimento,./banner_1_970x90/index.html,970,90
6,banner_1_728x90,---,250kb,---,indeterminado,HTML,desenvolvimento,./banner_1_728x90/index.html,728,90
7,banner_1_450x90,---,250kb,---,indeterminado,HTML,desenvolvimento,./banner_1_450x90/index.html,450,90
8,banner_1_451x90,---,250kb,---,indeterminado,HTML,desenvolvimento,./banner_1_451x90/index.html,451,90
9,banner_1_468x60,---,250kb,---,indeterminado,HTML,desenvolvimento,./banner_1_468x60/index.html,468,60
10,banner_1_1040x210,---,250kb,---,indeterminado,HTML,desenvolvimento,./banner_1_1040x210/index.html,1040,210
11,banner_1_480x320,---,250kb,---,indeterminado,HTML,desenvolvimento,./banner_1_480x320/index.html,480,320
12,banner_1_336x280,---,250kb,---,indeterminado,HTML,desenvolvimento,./banner_1_336x280/index.html,336,280
13,banner_1_540x540,---,250kb,---,indeterminado,HTML,desenvolvimento,./banner_1_540x540/index.html,540,540
14,banner_1_405x540,---,250kb,---,indeterminado,HTML,desenvolvimento,./banner_1_405x540/index.html,405,540
15,banner_1_320x450,---,250kb,---,indeterminado,HTML,desenvolvimento,./banner_1_320x450/index.html,320,450
16,banner_1_320x480,---,250kb,---,indeterminado,HTML,desenvolvimento,./banner_1_320x480/index.html,320,480
17,banner_1_300x1050,---,250kb,---,indeterminado,HTML,desenvolvimento,./banner_1_300x1050/index.html,300,1050
18,banner_1_120x600,---,250kb,---,indeterminado,HTML,desenvolvimento,./banner_1_120x600/index.html,120,600
19,banner_1_320x100,---,250kb,---,indeterminado,HTML,desenvolvimento,./banner_1_320x100/index.html,320,100
20,banner_1_300x100,---,250kb,---,indeterminado,HTML,desenvolvimento,./banner_1_300x100/index.html,300,100
21,banner_1_320x50,---,250kb,---,indeterminado,HTML,desenvolvimento,./banner_1_320x50/index.html,320,50
22,banner_1_300x50,---,250kb,---,indeterminado,HTML,desenvolvimento,./banner_1_300x50/index.html,300,50
